"Group","Method","Route","Policy","Audited","AuditAction","Redaction","Status","Line"
"admin","POST","/api/v1/admin/ics-positions/{icsPositionId:int}/nims-standard","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / ref","TBD","In Progress","6338"
"admin","GET","/api/v1/admin/sessions","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / SESSION_TERMINATE","TBD","In Progress","6378"
"admin","POST","/api/v1/admin/sessions/{userSessionId:long}/terminate","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / SESSION_TERMINATE","TBD","In Progress","6393"
"admin","POST","/api/v1/admin/sessions/{userSessionId:long}/impersonate/start","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / SESSION_IMPERSONATION_START","TBD","In Progress","6433"
"admin","POST","/api/v1/admin/sessions/{userSessionId:long}/impersonate/stop","AuthorizationPolicies.LookupViewer","Yes","DATA_CHANGE / SESSION_IMPERSONATION_STOP","TBD","In Progress","6510"
"admin","GET","/api/v1/admin/sessions/compliance-evidence/export/json","AuthorizationPolicies.LookupContributor","Yes","REPORTING / SESSION_COMPLIANCE_EVIDENCE_EXPORT_JSON","TBD","In Progress","6574"
"users","GET","/api/v1/users/active","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6709"
"users","GET","/api/v1/users/contacts","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6718"
"lookups","GET","/api/v1/lookups/codesets/{codeSetName}","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6727"
"lookups","GET","/api/v1/lookups/codesets/{codeSetName}/search","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6745"
"lookups","GET","/api/v1/lookups/locations","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6769"
"lookups","POST","/api/v1/lookups/codesets/{codeSetName}","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6778"
"lookups","POST","/api/v1/lookups/codesets/{codeSetName}/{codeValueId:int}","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6812"
"resources","POST","/api/v1/resources/import/inventory","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_BATCH","TBD","In Progress","6845"
"resources","POST","/api/v1/resources/import/inventory/csv","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_RESOURCE_INVENTORY_CSV","TBD","In Progress","6907"
"resources","POST","/api/v1/resources/import/inventory/csv/reject-report","AuthorizationPolicies.ResourceReporter","Yes","RESOURCE / RESOURCE_REGIONAL_ROLLUP_EXPORT_CSV","TBD","In Progress","6983"
"resources","GET","/api/v1/resources/inventory","AuthorizationPolicies.ResourceReporter","Yes","RESOURCE / RESOURCE_REGIONAL_ROLLUP_EXPORT_CSV","TBD","In Progress","7024"
"resources","GET","/api/v1/resources/regional-rollups","AuthorizationPolicies.ResourceReporter","Yes","RESOURCE / RESOURCE_REGIONAL_ROLLUP_EXPORT_CSV","TBD","In Progress","7032"
"resources","GET","/api/v1/resources/regional-rollups/export/csv","AuthorizationPolicies.ResourceReporter","Yes","RESOURCE / RESOURCE_REGIONAL_ROLLUP_EXPORT_CSV","TBD","In Progress","7041"
"resources","POST","/api/v1/resources/inventory/{locationResourceInventoryId:long}","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","7122"
